galaxyID,label1,label2,label3,label4
125836,0,0,0,0
118568,1,0,0,0
108233,2,0,0,0
37486,1,0,0,0
107711,1,0,0,0
148829,1,0,0,0
225378,0,0,0,0
251803,2,0,0,0
101781,1,0,0,0
41418,1,0,0,0
194197,0,0,0,0
10290,5,2,1,1
52482,1,0,0,0
158256,3,1,1,1
177992,0,0,0,0
137974,0,0,0,0
288971,1,0,0,0
53324,1,0,0,0
77830,5,2,1,1
99590,0,0,0,0
265047,1,0,0,0
185608,2,0,0,0
91675,4,2,1,1
111850,2,0,0,0
213627,0,0,0,0
51534,1,0,0,0
178717,7,4,3,2
57039,1,0,0,0
197846,1,0,0,0
273558,1,0,0,0
243152,0,0,0,0
58945,7,4,3,2
231810,3,1,1,1
191970,2,0,0,0
84095,1,0,0,0
129103,6,3,2,2
79301,1,0,0,0
233280,7,4,3,2
51690,1,0,0,0
26526,1,0,0,0
108859,1,0,0,0
68593,0,0,0,0
145394,2,0,0,0
96393,1,0,0,0
223777,2,0,0,0
139250,1,0,0,0
50356,0,0,0,0
63494,5,2,1,1
126765,1,0,0,0
14237,0,0,0,0
209053,5,2,1,1
216463,7,4,3,2
44644,1,0,0,0
173003,2,0,0,0
164570,1,0,0,0
41021,3,1,1,1
160296,4,2,1,1
83781,2,0,0,0
78987,2,0,0,0
187743,5,2,1,1
88209,5,2,1,1
182333,1,0,0,0
242287,1,0,0,0
87046,2,0,0,0
36095,1,0,0,0
252672,5,2,1,1
262275,1,0,0,0
49819,1,0,0,0
15354,0,0,0,0
37602,0,0,0,0
294480,0,0,0,0
182417,2,0,0,0
179249,1,0,0,0
131306,1,0,0,0
287193,0,0,0,0
181037,5,2,1,1
239879,3,1,1,1
165108,0,0,0,0
198523,0,0,0,0
287342,2,0,0,0
224468,0,0,0,0
17008,1,0,0,0
67276,0,0,0,0
228263,7,4,3,2
61198,0,0,0,0
227515,4,2,1,1
225327,0,0,0,0
4895,1,0,0,0
150478,1,0,0,0
10110,2,0,0,0
249912,1,0,0,0
1757,0,0,0,0
83492,1,0,0,0
10741,0,0,0,0
149836,1,0,0,0
232682,3,1,1,1
276915,2,0,0,0
132173,2,0,0,0
228366,0,0,0,0
129844,0,0,0,0
173593,0,0,0,0
112292,1,0,0,0
160421,2,0,0,0
131145,7,4,3,2
215052,5,2,1,1
285322,2,0,0,0
198139,1,0,0,0
101617,1,0,0,0
170051,0,0,0,0
70537,6,3,2,2
22618,1,0,0,0
279934,1,0,0,0
150446,0,0,0,0
226140,1,0,0,0
184239,2,0,0,0
87906,1,0,0,0
94002,5,2,1,1
8026,0,0,0,0
232477,5,2,1,1
211174,1,0,0,0
25294,1,0,0,0
174627,1,0,0,0
197009,1,0,0,0
29741,5,2,1,1
88484,2,0,0,0
240228,1,0,0,0
13489,2,0,0,0
228843,2,0,0,0
60013,1,0,0,0
132116,1,0,0,0
208977,2,0,0,0
170754,0,0,0,0
237565,0,0,0,0
100761,0,0,0,0
36473,6,3,2,2
232116,0,0,0,0
242428,2,0,0,0
96802,0,0,0,0
36547,1,0,0,0
265850,1,0,0,0
157155,1,0,0,0
267564,6,3,2,2
26737,1,0,0,0
137988,1,0,0,0
179081,1,0,0,0
218364,1,0,0,0
100934,6,3,2,2
120470,5,2,1,1
176738,2,0,0,0
75516,1,0,0,0
285816,0,0,0,0
237882,1,0,0,0
28663,0,0,0,0
271751,2,0,0,0
101772,1,0,0,0
69643,5,2,1,1
238192,0,0,0,0
208871,0,0,0,0
120762,1,0,0,0
266368,3,1,1,1
226746,4,2,1,1
237705,0,0,0,0
188710,0,0,0,0
109811,0,0,0,0
235193,6,3,2,2
246108,5,2,1,1
41689,5,2,1,1
65929,0,0,0,0
275024,1,0,0,0
225251,6,3,2,2
225509,1,0,0,0
140995,5,2,1,1
75896,0,0,0,0
